"skos:prefLabel@en"," skos:definition@en","dcterms:source
  part 1 ","dcterms:source
  part 2","skos:prefeLabel@it
","skos:definition@it
","skos:hasTopConcept"
"AI application
","a system, tool or service that uses artificial intelligence (AI) techniques to automate or enhance specific tasks to deliver an intended result","letters","ISO/IEC 5339:2024(en) [adapted]","applicazione dell'IA","un sistema, uno strumento o un servizio che utilizza tecniche di intelligenza artificiale (AI) per automatizzare o migliorare compiti specifici allo scopo di fornire il risultato atteso","Information Science and Data Management "
"alphanumeric","a character set represented by numerals and letters","letters","https://iate.europa.eu/search/result/1745487009001/1 [exact]","alfanumerico","un set di caratteri rappresentato da numeri e lettere","Information Science and Data Management "
"alphanumeric inventory code
","a unique, human-readable, non-semantic identifier assigned to an object","letters","https://qodenext.com/blog/stock-keeping-unit/ [exact] ","codice alfanumerico dell'inventario","un identificatore univoco, non semantico e leggibile dall'uomo, assegnato a un oggetto","Information Science and Data Management "
"ancient painting","an artistic practice of applying pigment to surfaces, such as walls, pottery, wood, and stone, originating from the earliest periods of human history (40,000 BCE - 600 CE)","website","https://en.wikipedia.org/wiki/Ancient_art  [adapted]","pittura antica","una pratica artistica di applicazione di pigmenti su superfici, come pareti, ceramiche, legno e pietra, risalente ai primi periodi della storia umana (40.000 a.C. - 600 d.C.)","Information Science and Data Management "
"archaeology","a multifaceted field concerned mainly with the recovery and interpretation of the material remains of the human past, and the environmental contexts in which those remains were originally deposited","website","Encyclopedia of Archaeology (Second Edition), Volume 1, 2024","archeologia","un complesso campo di studi che ha riguardato principalmente il recupero e l'interpretazione dei resti materiali del passato umano e dei contesti ambientali in cui quei resti sono stati originariamente depositati","Cultural Heritage"
"archive","a physical repository comprising all documents on any type of medium, produced and received by a public or private body and sorted, inventorised, organised and stored with a view to possible future use","manual addition","Herein System Terminology [exact]","archivio","un repository fisico comprendente tutti i documenti su qualsiasi tipo di supporto, prodotti e ricevuti da un ente pubblico o privato e ordinati, inventorizzati, organizzati e archiviati in vista di un possibile utilizzo futuro","Information Science and Data Management "
"artefact","a tangible object that has been created, modified, or used by human beings and is preserved for its historical, scientific, social or aesthetic value","website","based on AAT, ICOM and UNESCO","artefatto, manufatto","un oggetto tangibile che è stato creato, modificato o utilizzato dagli esseri umani e viene preservato per il suo valore storico, scientifico, sociale o estetico","Cultural Heritage"
"Artifical Intelligence (AI)","the ability of a computer, robot, programmed device, or software application to perform operations and tasks analogous to human learning and decision making","letters","https://www.dictionary.com/browse/AI [exact]","intelligenza artificiale","la capacità di un computer, robot, dispositivo programmato o applicazione software di eseguire operazioni e compiti analoghi all'apprendimento e al processo decisionale umano","Information Science and Data Management "
"born-digital record","a record that has been natively created in digital format (rather than digitised from a paper record)","consultation","https://www.nationalarchives.gov.uk/information-management/manage-information/digital-records-transfer/what-are-born-digital-records/","risorsa digitale nativa","un record che è stato creato nativamente in formato digitale (piuttosto che digitalizzato da un record cartaceo)","Information Science and Data Management "
"climate","synthesis of weather conditions in a given area, characterized by long-term statistics (mean values, variances, probabilities of extreme values, etc.) of the meteorological elements in that area","letters","https://iate.europa.eu/search/result/1743935807397/1  [exact]","clima","Sintesi delle condizioni generali del tempo in una data area, caratterizzata da statistiche a lungo termine (valori medi, varianza, probabilità di valori estremi, etc.) degli elementi meteorologici che la contraddistinguono","Other topics of interest"
"climate change risk        
","potential negative impacts from changes in Earth's climate, affecting human and natural systems","letters","https://climate.sustainability-directory.com/term/climate-change-risk/","rischio di cambiamento climatico","potenziali impatti negativi derivanti dai cambiamenti climatici della Terra, che interessano i sistemi umani e naturali","Cultural Heritage"
"cold data","data in computer storage that is rarely accessed","consultation","https://en.wikipedia.org/wiki/Cold_data","dati freddi","dati nella memoria del computer a cui si accede raramente","Information Science and Data Management "
"collection","an assemblage of specimens compiled and maintained for purposes of study and (or) display","letters","https://loterre.istex.fr/th63/en/page/?uri=http%3A%2F%2Fdata.loterre.fr%2Fark%3A%2F67375%2FFM8-KSK24QP5-F [exact] ","collezione, raccolta","un insieme di campioni compilati e mantenuti a scopo di studio e (o) visualizzazione","Information Science and Data Management "
"Common European Data Space","an interoperable framework developed by European Commission, based on common governance principles, standards, practices and enabling services, that enables trusted data transactions between participants ","website","https://dssc.eu/space/bv15e/766061351/Introduction+-+Key+Concepts+of+Data+Spaces#1.-What-Is-a-Data-Space?    see also https://digital-strategy.ec.europa.eu/en/policies/data-spaces","Spazio Comune Europeo dei Dati","un quadro interoperabile sviluppato dalla Commissione europea, basato su principi, standard, pratiche e servizi abilitanti di governance comuni, che consente transazioni di dati affidabili tra i partecipanti ","Other topics of interest"
"conservation","different types of actions required in the management of change aiming to prolong the life of a cultural heritage asset while  protecting its authenticity, historical and artistic integrity, without the loss of  meaning
","letters","Herein System Terminology (https://www.coe.int/en/web/herein-system/terminology)","
conservazione","diversi tipi di azioni richieste nella gestione del cambiamento volte a prolungare la vita di un bene del patrimonio culturale proteggendone l'autenticità, l'integrità storica e artistica, senza perdita di significato","Other topics of interest"
"controlled vocabulary","set of values that can be used either to constrain the set of permissible values or to provide suggestions for applicable values in a given context","consultation","https://vocabs.sshopencloud.eu/browse/sshocterm/en/page/controlled_vocabulary_11","","insieme di valori che possono essere utilizzati per vincolare l'insieme di valori consentiti o per fornire suggerimenti per i valori applicabili in un determinato contesto","Information Science and Data Management "
"cooperation","active help from a person, organization, etc., such as an orderly sharing of space or resources","letters","https://en.wiktionary.org/wiki/cooperation [exact]","cooperazione","un aiuto attivo da parte di una persona, un'organizzazione, ecc., come una condivisione ordinata di spazi o risorse","Other topics of interest"
"cultural heritage","a group of resources inherited from the past which people identify, independently of ownership, as a reflection and expression of their constantly evolving values, beliefs, knowledge and traditions","letters","Faro Convention, 2005 (https://www.coe.int/en/web/culture-and-heritage/faro-convention)","patrimonio culturale","un insieme di risorse ereditate dal passato che le persone identificano, indipendentemente dalla proprietà, come riflesso ed espressione dei loro valori, credenze, conoscenze e tradizioni in continua evoluzione","Cultural Heritage"
"cultural heritage cloud","a secure digital ecosystem (infrastructure) providing shared access to advance digital tools and data, enabling multidisciplinary collaboration between researchers and heritage professionals and the enhancement of cultural assets without the requirement for localised, high-cost IT infrastructure","website","https://research-and-innovation.ec.europa.eu/research-area/social-sciences-and-humanities/cultural-heritage-and-cultural-and-creative-industries-ccis/cultural-heritage-cloud_en  ","cultural heritage cloud","un ecosistema digitale sicuro (infrastruttura) che fornisce accesso condiviso a strumenti e dati digitali avanzati, consentendo la collaborazione multidisciplinare tra ricercatori e professionisti del patrimonio e la valorizzazione dei beni culturali senza la necessità di infrastrutture IT localizzate e ad alto costo","Other topics of interest"
"cultural heritage data","any raw fact, figures or symbol, stored in a structured or unstructured on representations of cultural objects, context, and practices, encompassing both tangible and intangible heritage, that support preservation, research and public engagement, and serve as the input to be processed and analysed to generate information for specific purposes","letters","https://www.getty.edu/vow/AATFullDisplay?find=data&logic=AND&note=&english=N&prev_page=1&subjectid=300312038 [adapted]","dati relativi al patrimonio culturale","qualsiasi fatto, figura o simbolo grezzo, memorizzato in modo strutturato o non strutturato su rappresentazioni di beni culturali, contesto e pratiche, che comprende sia il patrimonio tangibile che intangibile, che supporta la conservazione, la ricerca e l'impegno pubblico e funge da input da elaborare e analizzare per generare informazioni per scopi specifici","Information Science and Data Management "
"cultural heritage institution","organisation whose mission resides in safeguarding, protecting, conserving and disseminating the cultural heritage of a state","website","https://iate.europa.eu/search/result/1745954703618/1  [exact]","istituto di tutela del patrimonio culturale ","organizzazione la cui missione risiede nella salvaguardia, protezione, conservazione e diffusione del patrimonio culturale di uno Stato","Other topics of interest"
"culture","the arts, customs, lifestyles, background and habits that characterize humankind, or a particular society or nation","letters","https://en.wiktionary.org/wiki/culture [exact]","cultura","le arti, i costumi, gli stili di vita, il background e le abitudini che caratterizzano il genere umano, o una particolare società o nazione","Other topics of interest"
"data analysis","the process of inspecting, cleaning, transforming, and modeling data with the goal of highlighting useful information, suggesting conclusions, and supporting decision making.","consultation","https://vocabs.sshopencloud.eu/browse/sshocterm/en/page/data_analysis_18","analisi dei dati","il processo di ispezione, pulizia, trasformazione e modellazione dei dati con l'obiettivo di evidenziare informazioni utili, suggerire conclusioni e supportare il processo decisionale","Other topics of interest"
"data management plan","formal document that outlines how to handle research data both during your research and after the research project is completed.","consultation","https://vocabs.sshopencloud.eu/browse/sshocterm/en/page/data_management_plan_65","piano di gestione dei dati","documento formale che delinea come gestire i dati della ricerca sia durante la ricerca che dopo il completamento del progetto di ricerca.","Other topics of interest"
"data model","broader definition: a structured, standard-based framework designed to encode, organise, and describe data and its relationships within a digital infrastructure // In the context of CH, it can be defined as a conceptual framework designed to standardise and organise digital information about cultural heritage assets, activities, and the relationships between them","WP5.3 course","ECCCH_Report_FINAL.pdf","modello dati","definizione più ampia: un quadro strutturato e basato su standard progettato per codificare, organizzare e descrivere i dati e le loro relazioni all'interno di un'infrastruttura digitale// Nel contesto di CH, può essere definito come un quadro concettuale progettato per standardizzare e organizzare le informazioni digitali sui beni, le attività e le relazioni tra loro","Information Science and Data Management "
"data modeling","the process of creating a visual representation of either a whole information system or parts of it to communicate connections between data points and structures","consultation","https://vocabs.sshopencloud.eu/browse/sshocterm/en/page/data_modeling_71 [exact]","modellazione dei dati","il processo di creazione di una rappresentazione visiva di un intero sistema informativo o di parti di esso per comunicare connessioni tra punti dati e strutture","Information Science and Data Management "
